ClienteID;Cliente;SegmentoCliente;Estado;Genero;FaixaEtaria;DataCadastro
435;Cliente 0435;Recorrente;RS;M;35-44;2024-05-03
436;Cliente 0436;Novo;RJ;Nao informado;55+;2024-10-23
437;Cliente 0437;Recorrente;SP;F;45-54;2023-08-26
438;Cliente 0438;Novo;SP;M;45-54;2025-05-07
439;Cliente 0439;Risco;RS;F;18-24;2023-07-10
440;Cliente 0440;Recorrente;RJ;M;35-44;2023-11-02
441;Cliente 0441;Risco;DF;Nao informado;45-54;2024-04-10
442;Cliente 0442;VIP;CE;M;25-34;2023-05-18
443;Cliente 0443;Novo;MG;Nao informado;45-54;2025-04-08
444;Cliente 0444;Novo;MG;F;35-44;2024-10-25
445;Cliente 0445;Novo;AM;F;25-34;2025-03-20
446;Cliente 0446;VIP;PE;M;55+;2024-09-17
447;Cliente 0447;Novo;AM;F;25-34;2023-12-02
448;Cliente 0448;Recorrente;PR;F;35-44;2023-05-24
449;Cliente 0449;Novo;RS;M;35-44;2024-01-28
450;Cliente 0450;Recorrente;SP;M;35-44;2024-08-19
451;Cliente 0451;Novo;AM;F;45-54;2024-12-10
452;Cliente 0452;Novo;AM;Nao informado;35-44;2023-11-11
453;Cliente 0453;Novo;RS;M;55+;2024-12-07
454;Cliente 0454;Novo;MG;M;25-34;2023-08-15
455;Cliente 0455;Recorrente;GO;M;45-54;2024-04-10
456;Cliente 0456;Recorrente;CE;Nao informado;25-34;2024-12-19
457;Cliente 0457;Novo;GO;F;55+;2025-02-19
458;Cliente 0458;Recorrente;BA;F;55+;2024-04-02
459;Cliente 0459;Novo;DF;Nao informado;25-34;2023-04-25
460;Cliente 0460;Recorrente;MG;M;55+;2024-08-09
461;Cliente 0461;Novo;PR;Nao informado;55+;2024-03-28
462;Cliente 0462;Novo;DF;M;18-24;2024-05-15
463;Cliente 0463;Novo;PE;M;55+;2024-04-09
464;Cliente 0464;Recorrente;AM;M;18-24;2023-03-01
465;Cliente 0465;Novo;SP;Nao informado;25-34;2024-02-10
466;Cliente 0466;Novo;PE;M;18-24;2024-08-15
467;Cliente 0467;Risco;RJ;M;18-24;2024-07-08
468;Cliente 0468;Recorrente;MG;Nao informado;45-54;2023-10-21
469;Cliente 0469;Risco;PE;M;45-54;2024-01-19
470;Cliente 0470;Novo;AM;Nao informado;25-34;2024-01-20
471;Cliente 0471;VIP;RJ;F;55+;2024-10-31
472;Cliente 0472;Recorrente;PR;F;18-24;2024-02-07
473;Cliente 0473;Recorrente;DF;M;55+;2023-11-02
474;Cliente 0474;VIP;PR;M;35-44;2024-01-24
475;Cliente 0475;Novo;RJ;F;45-54;2023-06-08
476;Cliente 0476;Recorrente;SP;F;25-34;2024-09-21
477;Cliente 0477;Novo;SP;M;55+;2023-03-10
478;Cliente 0478;Recorrente;SP;F;18-24;2024-11-19
479;Cliente 0479;Recorrente;DF;F;18-24;2024-02-16
480;Cliente 0480;Recorrente;RS;F;55+;2023-05-24
481;Cliente 0481;Recorrente;AM;M;25-34;2023-11-23
482;Cliente 0482;VIP;AM;Nao informado;25-34;2023-11-06
483;Cliente 0483;Novo;SP;Nao informado;55+;2024-02-28
484;Cliente 0484;Recorrente;MG;Nao informado;45-54;2025-06-19
485;Cliente 0485;Recorrente;BA;Nao informado;45-54;2024-07-23
486;Cliente 0486;Recorrente;PE;M;25-34;2025-03-15
487;Cliente 0487;Recorrente;DF;M;25-34;2023-11-04
488;Cliente 0488;Novo;MG;M;18-24;2025-05-19
489;Cliente 0489;Recorrente;PE;Nao informado;55+;2024-07-29
490;Cliente 0490;Recorrente;RS;F;35-44;2023-05-18
491;Cliente 0491;Novo;CE;M;18-24;2024-10-24
492;Cliente 0492;Recorrente;PR;F;35-44;2024-07-02
493;Cliente 0493;Recorrente;GO;F;18-24;2024-01-22
494;Cliente 0494;VIP;GO;Nao informado;55+;2023-07-12
495;Cliente 0495;Recorrente;BA;M;18-24;2023-08-11
496;Cliente 0496;Risco;RJ;Nao informado;45-54;2023-08-05
497;Cliente 0497;Recorrente;PR;M;25-34;2023-09-06
498;Cliente 0498;Novo;RS;M;45-54;2024-07-19
499;Cliente 0499;Recorrente;RS;M;35-44;2024-06-30
500;Cliente 0500;VIP;CE;F;45-54;2024-06-09
501;Cliente 0501;VIP;PR;M;35-44;2025-02-18
502;Cliente 0502;Novo;PR;Nao informado;25-34;2024-02-28
503;Cliente 0503;Novo;GO;Nao informado;45-54;2023-01-17
504;Cliente 0504;Novo;BA;F;45-54;2023-10-30
505;Cliente 0505;VIP;CE;Nao informado;35-44;2024-08-06
506;Cliente 0506;Recorrente;CE;Nao informado;45-54;2023-09-21
507;Cliente 0507;Novo;BA;F;25-34;2024-04-16
508;Cliente 0508;Recorrente;MG;Nao informado;18-24;2025-01-07
509;Cliente 0509;Novo;RJ;Nao informado;18-24;2024-06-20
510;Cliente 0510;Novo;MG;Nao informado;25-34;2025-02-21
511;Cliente 0511;Recorrente;SP;F;55+;2023-03-11
512;Cliente 0512;Recorrente;GO;Nao informado;55+;2024-04-11
513;Cliente 0513;Recorrente;SP;F;55+;2024-05-09
514;Cliente 0514;Recorrente;SP;Nao informado;35-44;2024-07-18
515;Cliente 0515;Risco;SP;Nao informado;45-54;2024-07-02
516;Cliente 0516;Risco;MG;F;18-24;2025-04-05
517;Cliente 0517;Novo;PR;Nao informado;55+;2024-06-20
518;Cliente 0518;VIP;RS;M;18-24;2023-09-16
519;Cliente 0519;Risco;CE;Nao informado;25-34;2024-01-18
520;Cliente 0520;Novo;AM;F;18-24;2024-12-14
521;Cliente 0521;Recorrente;PE;Nao informado;45-54;2023-04-06
522;Cliente 0522;Recorrente;MG;F;45-54;2023-02-27
523;Cliente 0523;Recorrente;BA;Nao informado;18-24;2025-05-15
524;Cliente 0524;Risco;PR;F;55+;2024-06-24
525;Cliente 0525;Novo;RJ;Nao informado;35-44;2024-05-01
526;Cliente 0526;Recorrente;SP;F;35-44;2024-07-10
527;Cliente 0527;Risco;GO;F;45-54;2023-01-17
528;Cliente 0528;Novo;GO;F;55+;2023-03-20
529;Cliente 0529;VIP;AM;Nao informado;35-44;2025-05-04
530;Cliente 0530;Recorrente;MG;Nao informado;18-24;2024-01-29
531;Cliente 0531;Recorrente;BA;F;18-24;2024-05-27
532;Cliente 0532;Novo;RJ;M;55+;2024-03-23
533;Cliente 0533;Recorrente;GO;M;35-44;2025-02-26
534;Cliente 0534;Recorrente;CE;M;25-34;2023-01-31
535;Cliente 0535;Recorrente;PE;M;25-34;2023-12-31
536;Cliente 0536;Recorrente;PE;F;55+;2024-11-27
537;Cliente 0537;VIP;RJ;F;35-44;2023-10-30
538;Cliente 0538;Recorrente;AM;F;45-54;2023-06-07
539;Cliente 0539;Recorrente;RJ;F;35-44;2023-11-21
540;Cliente 0540;Recorrente;RS;F;25-34;2024-03-31
541;Cliente 0541;Novo;CE;Nao informado;55+;2023-03-31
542;Cliente 0542;Recorrente;SP;F;35-44;2024-06-08
543;Cliente 0543;Novo;GO;M;45-54;2024-07-21
544;Cliente 0544;Novo;PE;F;55+;2023-01-13
545;Cliente 0545;Recorrente;MG;Nao informado;45-54;2023-09-06
546;Cliente 0546;Novo;RS;M;45-54;2023-06-23
547;Cliente 0547;Novo;PE;M;45-54;2023-05-30
548;Cliente 0548;Recorrente;RJ;M;35-44;2023-11-03
549;Cliente 0549;Recorrente;CE;Nao informado;55+;2023-09-10
550;Cliente 0550;Recorrente;MG;M;18-24;2023-07-20
551;Cliente 0551;Novo;GO;M;35-44;2024-02-10
552;Cliente 0552;Novo;AM;Nao informado;25-34;2024-03-26
553;Cliente 0553;Novo;PR;M;35-44;2023-11-04
554;Cliente 0554;Risco;BA;M;45-54;2023-07-01
555;Cliente 0555;VIP;BA;M;35-44;2024-08-12
556;Cliente 0556;VIP;BA;F;55+;2025-04-16
557;Cliente 0557;Recorrente;DF;F;55+;2023-07-24
558;Cliente 0558;Risco;CE;Nao informado;25-34;2023-01-28
559;Cliente 0559;VIP;RJ;M;45-54;2024-03-24
560;Cliente 0560;Recorrente;PR;M;25-34;2023-05-23
561;Cliente 0561;Recorrente;PE;F;45-54;2025-01-02
562;Cliente 0562;Recorrente;PE;Nao informado;55+;2024-09-04
563;Cliente 0563;Recorrente;DF;F;35-44;2025-06-09
564;Cliente 0564;VIP;DF;Nao informado;18-24;2024-12-19
565;Cliente 0565;Recorrente;AM;Nao informado;35-44;2023-04-22
566;Cliente 0566;Recorrente;SP;Nao informado;45-54;2023-06-20
567;Cliente 0567;Novo;PE;F;18-24;2025-02-09
568;Cliente 0568;Novo;DF;Nao informado;55+;2023-04-11
569;Cliente 0569;Recorrente;GO;F;45-54;2024-07-25
570;Cliente 0570;Recorrente;AM;Nao informado;55+;2024-01-19
571;Cliente 0571;Novo;SP;M;18-24;2023-06-04
572;Cliente 0572;Recorrente;RJ;F;25-34;2023-10-30
573;Cliente 0573;Novo;CE;F;55+;2023-12-23
574;Cliente 0574;Novo;RJ;M;45-54;2024-05-09
575;Cliente 0575;Novo;SP;Nao informado;18-24;2023-11-23
576;Cliente 0576;VIP;AM;F;25-34;2023-01-24
577;Cliente 0577;Novo;MG;Nao informado;25-34;2025-01-28
578;Cliente 0578;Recorrente;CE;F;45-54;2023-12-05
579;Cliente 0579;Novo;AM;Nao informado;45-54;2024-10-06
580;Cliente 0580;Novo;GO;F;45-54;2024-02-10
581;Cliente 0581;Recorrente;SP;Nao informado;25-34;2024-08-29
582;Cliente 0582;Novo;RJ;Nao informado;18-24;2023-07-30
583;Cliente 0583;VIP;MG;M;35-44;2025-03-29
584;Cliente 0584;Recorrente;RS;Nao informado;45-54;2023-07-21
585;Cliente 0585;Risco;BA;Nao informado;45-54;2024-06-24
586;Cliente 0586;Recorrente;RJ;M;35-44;2024-09-17
587;Cliente 0587;Recorrente;MG;Nao informado;35-44;2025-05-15
588;Cliente 0588;Recorrente;AM;F;35-44;2024-09-21
589;Cliente 0589;Novo;RJ;F;35-44;2023-05-01
590;Cliente 0590;Novo;PE;M;55+;2024-12-11
591;Cliente 0591;Recorrente;PE;F;45-54;2023-05-22
592;Cliente 0592;Recorrente;AM;F;55+;2024-10-12
593;Cliente 0593;Recorrente;MG;F;35-44;2023-06-20
594;Cliente 0594;Recorrente;SP;M;18-24;2025-05-12
595;Cliente 0595;Novo;PE;Nao informado;55+;2024-05-11
596;Cliente 0596;Recorrente;AM;M;45-54;2024-10-30
597;Cliente 0597;VIP;CE;F;18-24;2024-12-28
598;Cliente 0598;Novo;PR;M;18-24;2024-08-01
599;Cliente 0599;Novo;RS;F;45-54;2023-10-09
600;Cliente 0600;Recorrente;CE;Nao informado;55+;2024-08-02
601;Cliente 0601;Recorrente;RS;Nao informado;35-44;2023-04-26
602;Cliente 0602;VIP;SP;Nao informado;45-54;2024-07-09
603;Cliente 0603;Novo;PE;F;25-34;2024-07-13
604;Cliente 0604;VIP;SP;M;35-44;2023-11-01
605;Cliente 0605;VIP;RJ;M;18-24;2023-12-23
606;Cliente 0606;VIP;PR;Nao informado;55+;2025-03-05
607;Cliente 0607;Recorrente;GO;Nao informado;45-54;2024-12-06
608;Cliente 0608;Recorrente;PR;F;18-24;2023-06-19
609;Cliente 0609;Recorrente;RS;Nao informado;55+;2024-08-06
610;Cliente 0610;Novo;RS;M;55+;2023-06-22
611;Cliente 0611;Risco;DF;Nao informado;18-24;2023-10-01
612;Cliente 0612;Risco;PE;F;35-44;2023-05-19
613;Cliente 0613;Recorrente;MG;F;25-34;2025-06-06
614;Cliente 0614;Novo;PR;Nao informado;45-54;2024-12-29
615;Cliente 0615;Novo;AM;M;45-54;2024-05-16
616;Cliente 0616;Recorrente;AM;F;45-54;2024-01-20
617;Cliente 0617;Recorrente;BA;M;45-54;2024-06-11
618;Cliente 0618;Recorrente;RJ;Nao informado;45-54;2023-12-02
619;Cliente 0619;Recorrente;BA;F;55+;2024-10-12
620;Cliente 0620;Novo;PE;F;45-54;2024-02-12
621;Cliente 0621;Novo;RS;M;55+;2023-10-02
622;Cliente 0622;Novo;CE;M;18-24;2024-08-14
623;Cliente 0623;Novo;CE;F;18-24;2023-02-17
624;Cliente 0624;Novo;CE;F;45-54;2025-05-28
625;Cliente 0625;Risco;MG;Nao informado;35-44;2023-07-27
626;Cliente 0626;VIP;RS;F;35-44;2023-06-12
627;Cliente 0627;Novo;AM;Nao informado;25-34;2023-09-14
628;Cliente 0628;Recorrente;RS;Nao informado;25-34;2023-02-23
629;Cliente 0629;Recorrente;RJ;F;25-34;2024-03-15
630;Cliente 0630;Novo;GO;F;55+;2024-05-03
631;Cliente 0631;Recorrente;SP;Nao informado;35-44;2024-11-27
632;Cliente 0632;Novo;PE;Nao informado;25-34;2025-04-16
633;Cliente 0633;Novo;PE;F;18-24;2024-05-04
634;Cliente 0634;Novo;RS;F;45-54;2023-04-16
635;Cliente 0635;VIP;MG;Nao informado;25-34;2025-03-03
636;Cliente 0636;Recorrente;SP;Nao informado;25-34;2023-03-12
637;Cliente 0637;Recorrente;PR;Nao informado;25-34;2024-03-26
638;Cliente 0638;Recorrente;CE;F;18-24;2024-02-26
639;Cliente 0639;Novo;RJ;Nao informado;45-54;2023-04-13
640;Cliente 0640;Risco;BA;F;25-34;2023-12-26
641;Cliente 0641;Recorrente;PR;Nao informado;55+;2023-10-11
642;Cliente 0642;Recorrente;RS;Nao informado;18-24;2024-09-06
643;Cliente 0643;VIP;RS;F;55+;2025-05-18
644;Cliente 0644;Recorrente;PE;M;18-24;2024-09-13
645;Cliente 0645;VIP;PR;M;45-54;2025-03-13
646;Cliente 0646;Novo;AM;Nao informado;18-24;2023-04-26
647;Cliente 0647;VIP;SP;M;35-44;2024-06-24
648;Cliente 0648;Recorrente;GO;M;35-44;2023-05-16
649;Cliente 0649;Recorrente;CE;F;18-24;2024-07-13
650;Cliente 0650;Novo;RS;F;18-24;2024-08-24
651;Cliente 0651;Risco;PE;Nao informado;35-44;2023-03-03
652;Cliente 0652;Recorrente;PE;M;45-54;2024-10-05
653;Cliente 0653;Recorrente;DF;Nao informado;25-34;2023-03-26
654;Cliente 0654;Novo;RJ;Nao informado;25-34;2023-10-12
655;Cliente 0655;Novo;BA;M;55+;2025-04-07
656;Cliente 0656;Recorrente;AM;Nao informado;18-24;2024-10-11
657;Cliente 0657;Recorrente;PR;F;25-34;2023-11-14
658;Cliente 0658;Risco;RJ;M;55+;2023-03-30
659;Cliente 0659;Novo;AM;Nao informado;25-34;2024-09-15
660;Cliente 0660;Novo;MG;Nao informado;18-24;2023-05-03
661;Cliente 0661;Recorrente;BA;Nao informado;55+;2023-06-17
662;Cliente 0662;VIP;RS;F;35-44;2025-03-12
663;Cliente 0663;Recorrente;RS;Nao informado;18-24;2023-05-10
664;Cliente 0664;VIP;BA;M;35-44;2025-02-28
665;Cliente 0665;Novo;GO;Nao informado;18-24;2024-06-20
666;Cliente 0666;Recorrente;BA;F;45-54;2024-05-23
667;Cliente 0667;Recorrente;BA;F;35-44;2025-05-29
668;Cliente 0668;Novo;GO;Nao informado;18-24;2025-03-02
669;Cliente 0669;Recorrente;SP;F;18-24;2023-08-22
670;Cliente 0670;Novo;BA;M;25-34;2023-09-08
671;Cliente 0671;Risco;SP;Nao informado;45-54;2023-07-03
672;Cliente 0672;Novo;PE;Nao informado;35-44;2023-08-18
673;Cliente 0673;VIP;GO;M;18-24;2023-10-05
674;Cliente 0674;Recorrente;SP;F;25-34;2024-05-29
675;Cliente 0675;Recorrente;SP;M;18-24;2025-04-03
676;Cliente 0676;Recorrente;RS;M;35-44;2025-06-17
677;Cliente 0677;Recorrente;SP;M;25-34;2023-03-30
678;Cliente 0678;Recorrente;RS;Nao informado;55+;2023-10-26
679;Cliente 0679;Recorrente;GO;M;25-34;2023-09-06
680;Cliente 0680;Risco;PR;F;18-24;2025-01-20
681;Cliente 0681;Novo;DF;M;18-24;2024-02-24
682;Cliente 0682;Novo;AM;M;35-44;2023-12-10
683;Cliente 0683;Novo;PR;M;45-54;2023-04-17
684;Cliente 0684;Risco;MG;Nao informado;35-44;2023-03-03
685;Cliente 0685;Novo;PR;Nao informado;45-54;2023-04-06
686;Cliente 0686;VIP;CE;Nao informado;18-24;2024-12-18
687;Cliente 0687;Novo;MG;Nao informado;45-54;2024-08-17
688;Cliente 0688;Recorrente;SP;M;25-34;2023-03-18
689;Cliente 0689;Novo;BA;M;35-44;2023-08-31
690;Cliente 0690;Recorrente;PR;F;25-34;2023-11-22
691;Cliente 0691;VIP;GO;F;25-34;2023-05-20
692;Cliente 0692;Novo;CE;M;45-54;2023-04-19
693;Cliente 0693;Recorrente;PR;M;35-44;2023-05-04
694;Cliente 0694;Novo;RJ;F;25-34;2024-04-19
695;Cliente 0695;Recorrente;GO;F;25-34;2025-04-06
696;Cliente 0696;VIP;MG;F;25-34;2025-05-05
697;Cliente 0697;Recorrente;SP;Nao informado;35-44;2023-12-31
698;Cliente 0698;VIP;MG;F;45-54;2023-09-24
699;Cliente 0699;Recorrente;DF;F;18-24;2025-05-25
700;Cliente 0700;Novo;MG;F;18-24;2024-04-18
701;Cliente 0701;VIP;PR;F;25-34;2023-03-05
702;Cliente 0702;Recorrente;AM;Nao informado;18-24;2025-04-23
703;Cliente 0703;Recorrente;RJ;F;18-24;2024-08-19
704;Cliente 0704;Risco;CE;F;18-24;2023-07-22
705;Cliente 0705;VIP;BA;F;18-24;2025-05-17
706;Cliente 0706;Novo;GO;M;45-54;2024-04-17
707;Cliente 0707;Novo;AM;M;25-34;2024-05-23
708;Cliente 0708;Novo;MG;M;35-44;2023-12-29
709;Cliente 0709;VIP;SP;Nao informado;55+;2024-04-01
710;Cliente 0710;Novo;RS;M;45-54;2024-09-23
711;Cliente 0711;Recorrente;RJ;M;45-54;2024-07-17
712;Cliente 0712;Recorrente;AM;Nao informado;25-34;2023-05-21
713;Cliente 0713;Risco;DF;F;45-54;2024-10-07
714;Cliente 0714;Recorrente;CE;Nao informado;45-54;2025-03-11
715;Cliente 0715;Risco;DF;M;45-54;2023-12-19
716;Cliente 0716;Novo;BA;Nao informado;25-34;2023-10-04
717;Cliente 0717;VIP;RS;F;45-54;2023-01-31
718;Cliente 0718;Recorrente;GO;F;25-34;2024-06-26
719;Cliente 0719;Novo;PR;M;55+;2023-04-13
720;Cliente 0720;VIP;SP;F;55+;2025-04-15
721;Cliente 0721;Risco;PE;M;25-34;2025-05-16
722;Cliente 0722;Novo;BA;Nao informado;35-44;2023-06-30
723;Cliente 0723;Novo;BA;Nao informado;55+;2024-08-28
724;Cliente 0724;Recorrente;PR;M;55+;2023-05-26
725;Cliente 0725;Novo;SP;F;18-24;2023-11-13
726;Cliente 0726;Recorrente;SP;Nao informado;45-54;2023-08-27
727;Cliente 0727;Novo;GO;F;25-34;2023-01-01
728;Cliente 0728;Recorrente;BA;F;18-24;2023-12-15
729;Cliente 0729;Recorrente;MG;F;55+;2023-06-01
730;Cliente 0730;Recorrente;RJ;M;45-54;2025-05-31
731;Cliente 0731;Novo;RS;M;25-34;2024-08-23
732;Cliente 0732;Recorrente;PE;Nao informado;45-54;2023-06-11
733;Cliente 0733;Novo;DF;Nao informado;55+;2024-10-26
734;Cliente 0734;Recorrente;AM;Nao informado;25-34;2025-03-16
735;Cliente 0735;Novo;RS;F;25-34;2024-01-23
736;Cliente 0736;Novo;GO;M;55+;2025-01-16
737;Cliente 0737;Novo;BA;Nao informado;25-34;2023-02-03
738;Cliente 0738;Recorrente;CE;F;35-44;2024-10-16
739;Cliente 0739;Novo;BA;M;25-34;2025-02-02
740;Cliente 0740;VIP;RJ;Nao informado;35-44;2024-10-13
741;Cliente 0741;Novo;PR;F;18-24;2024-04-02
742;Cliente 0742;Novo;RJ;Nao informado;18-24;2023-12-25
743;Cliente 0743;Recorrente;PE;F;45-54;2023-02-19
744;Cliente 0744;VIP;BA;Nao informado;45-54;2024-05-19
745;Cliente 0745;VIP;GO;Nao informado;25-34;2023-04-14
746;Cliente 0746;Recorrente;SP;M;18-24;2023-06-16
747;Cliente 0747;Novo;RJ;F;35-44;2023-11-23
748;Cliente 0748;VIP;MG;Nao informado;18-24;2023-06-24
749;Cliente 0749;Risco;RJ;M;55+;2024-07-14
750;Cliente 0750;VIP;SP;M;25-34;2024-09-20
751;Cliente 0751;VIP;MG;F;18-24;2024-09-13
752;Cliente 0752;Novo;PR;M;55+;2023-12-06
753;Cliente 0753;Risco;DF;M;35-44;2025-01-09
754;Cliente 0754;Novo;SP;M;55+;2023-11-01
755;Cliente 0755;VIP;MG;F;35-44;2024-07-16
756;Cliente 0756;Recorrente;RS;Nao informado;55+;2023-01-04
757;Cliente 0757;Novo;SP;F;25-34;2024-05-06
758;Cliente 0758;Novo;RJ;M;18-24;2024-10-15
759;Cliente 0759;VIP;CE;M;35-44;2023-11-12
760;Cliente 0760;Recorrente;PE;F;35-44;2023-04-04
761;Cliente 0761;Recorrente;CE;F;35-44;2024-01-26
762;Cliente 0762;Recorrente;PR;M;55+;2024-03-26
763;Cliente 0763;Novo;AM;F;18-24;2023-03-05
764;Cliente 0764;Novo;DF;M;55+;2024-11-15
765;Cliente 0765;Recorrente;PE;Nao informado;45-54;2023-08-21
766;Cliente 0766;Recorrente;CE;Nao informado;25-34;2024-07-02
767;Cliente 0767;Novo;PE;Nao informado;18-24;2024-05-02
768;Cliente 0768;Recorrente;DF;Nao informado;55+;2024-05-29
769;Cliente 0769;Novo;CE;F;25-34;2023-05-31
770;Cliente 0770;VIP;MG;F;45-54;2023-08-05
771;Cliente 0771;Risco;PE;F;25-34;2023-03-22
772;Cliente 0772;Recorrente;BA;Nao informado;18-24;2025-05-04
773;Cliente 0773;Recorrente;PE;Nao informado;35-44;2023-03-31
774;Cliente 0774;Novo;CE;F;55+;2025-05-27
775;Cliente 0775;Recorrente;PE;F;45-54;2024-08-24
776;Cliente 0776;Novo;GO;Nao informado;18-24;2023-06-03
777;Cliente 0777;Recorrente;RJ;M;55+;2023-04-19
778;Cliente 0778;VIP;RS;M;45-54;2023-12-19
779;Cliente 0779;Recorrente;SP;F;35-44;2024-08-08
780;Cliente 0780;Novo;GO;Nao informado;45-54;2024-02-17
781;Cliente 0781;Recorrente;BA;Nao informado;25-34;2023-02-09
782;Cliente 0782;Recorrente;RS;M;18-24;2023-02-20
783;Cliente 0783;VIP;RS;M;35-44;2023-12-12
784;Cliente 0784;Recorrente;AM;F;25-34;2025-05-13
785;Cliente 0785;Novo;CE;M;35-44;2023-05-18
786;Cliente 0786;Recorrente;AM;F;25-34;2025-01-16
787;Cliente 0787;Novo;PE;Nao informado;45-54;2024-03-28
788;Cliente 0788;Recorrente;BA;F;55+;2025-02-16
789;Cliente 0789;Novo;RS;Nao informado;55+;2025-03-21
790;Cliente 0790;Novo;DF;Nao informado;18-24;2024-02-18
791;Cliente 0791;Novo;PR;F;25-34;2023-06-27
792;Cliente 0792;Recorrente;BA;Nao informado;25-34;2023-02-03
793;Cliente 0793;Recorrente;CE;Nao informado;45-54;2023-10-08
794;Cliente 0794;Risco;AM;F;25-34;2024-10-12
795;Cliente 0795;Recorrente;CE;F;45-54;2024-01-17
796;Cliente 0796;Recorrente;BA;F;35-44;2024-08-23
797;Cliente 0797;VIP;RJ;M;18-24;2025-02-05
798;Cliente 0798;Novo;GO;F;25-34;2024-01-31
799;Cliente 0799;Novo;PR;M;45-54;2024-10-24
800;Cliente 0800;Novo;AM;F;45-54;2024-06-09
